	Security	Holder	Weight
260	ADSK UW Equity	Eisler Capital UK Ltd	0.0118
261	AEE UN Equity	ExodusPoint Capital Management LP	0.0044
262	AEE UN Equity	AQR Capital Management LLC	0.0008
263	AEE UN Equity	Lighthouse Investment Partners LLC	0.0189
264	AEE UN Equity	Adage Capital Management LP	0.0000
265	AEE UN Equity	Point72 Asset Management LP	0.0000
266	AEE UN Equity	HITE Hedge Asset Management LLC	0.0196
267	AEE UN Equity	Millennium Management LLC/NY	0.0002
268	AEE UN Equity	Two Sigma Investments LP	0.0000
269	AEE UN Equity	Squarepoint Ops LLC	0.0006
270	AEE UN Equity	Verition Fund Management LLC	0.0017
271	AEE UN Equity	LMR Partners LLP	0.0021
272	AEE UN Equity	Ecofin Advisors Ltd	0.0000
273	AEE UN Equity	Citadel Advisors LLC	0.0001
274	AEE UN Equity	Edgestream Partners LP	0.0048
275	AEE UN Equity	Corient Private Wealth LLC	0.0001
276	AEE UN Equity	Azimut Holding SpA	0.0000
277	AEE UN Equity	Element Capital Management LLC	0.0018
278	AEE UN Equity	Holocene Advisors LP	0.0001
279	AEE UN Equity	Balyasny Asset Management LP	0.0001
280	AEE UN Equity	Schonfeld Strategic Advisors LLC	0.0001
281	AEP UW Equity	Millennium Management LLC/NY	0.0018
282	AEP UW Equity	Two Sigma Investments LP	0.0000
283	AEP UW Equity	Zimmer Partners LP	0.0206
284	AEP UW Equity	Verition Fund Management LLC	0.0085
285	AEP UW Equity	Balyasny Asset Management LP	0.0012
286	AEP UW Equity	TwinBeech Capital LP	0.0077
287	AEP UW Equity	AQR Capital Management LLC	0.0007
288	AEP UW Equity	Squarepoint Ops LLC	0.0018
289	AEP UW Equity	Citadel Advisors LLC	0.0003
290	AEP UW Equity	Tudor Investment Corp	0.0033
291	AEP UW Equity	Corient Private Wealth LLC	0.0003
292	AEP UW Equity	Ecofin Advisors Ltd	0.0000
293	AEP UW Equity	Point72 Asset Management LP	0.0000
294	AEP UW Equity	Lighthouse Investment Partners LLC	0.0069
295	AEP UW Equity	Azimut Holding SpA	0.0000
296	AEP UW Equity	Element Capital Management LLC	0.0038
297	AEP UW Equity	Holocene Advisors LP	0.0002
298	AEP UW Equity	American Assets Investment Managem	0.0056
299	AEP UW Equity	Davidson Kempner Capital Managemen	0.0015
300	AEP UW Equity	DE Shaw & Co LP	0.0000
301	AES UN Equity	Electron Capital Partners LLC	0.0806
302	AES UN Equity	Douglas Lane & Associates LLC	0.0081
303	AES UN Equity	Point72 Asset Management LP	0.0000
304	AES UN Equity	MARSHALL WACE	0.0000
305	AES UN Equity	Corvex Management LP	0.0273
306	AES UN Equity	Squarepoint Ops LLC	0.0024
307	AES UN Equity	Clean Energy Transition LLP	0.0461
308	AES UN Equity	TwinBeech Capital LP	0.0047
309	AES UN Equity	Two Sigma Investments LP	0.0000
310	AES UN Equity	Tudor Investment Corp	0.0027
311	AES UN Equity	Adage Capital Management LP	0.0000
312	AES UN Equity	DE Shaw & Co LP	0.0000
313	AES UN Equity	Ecofin Advisors Ltd	0.0000
314	AES UN Equity	LMCG Investments LLC	0.0061
315	AES UN Equity	LMR Partners LLP	0.0020
316	AES UN Equity	SIR Capital Management LP	0.0089
317	AES UN Equity	Millennium Management LLC/NY	0.0001
318	AES UN Equity	Citadel Advisors LLC	0.0001
319	AES UN Equity	Clayton Partners LLC	0.0481
320	AES UN Equity	Balyasny Asset Management LP	0.0002
321	AFL UN Equity	Balyasny Asset Management LP	0.0015
322	AFL UN Equity	Corient Private Wealth LLC	0.0010
323	AFL UN Equity	Millennium Management LLC/NY	0.0002
324	AFL UN Equity	DE Shaw & Co LP	0.0000
325	AFL UN Equity	AQR Capital Management LLC	0.0004
326	AFL UN Equity	Adage Capital Management LP	0.0000
327	AFL UN Equity	MARSHALL WACE	0.0000
328	AFL UN Equity	Tocqueville Asset Management LP	0.0032
329	AFL UN Equity	Graham Capital Management LP	0.0045
330	AFL UN Equity	Squarepoint Ops LLC	0.0005
331	AFL UN Equity	Southeast Asset Advisors Inc	0.0135
332	AFL UN Equity	Bridgewater Associates LP	0.0006
333	AFL UN Equity	Hudson Bay Capital Management LP	0.0008
334	AFL UN Equity	Contravisory Investment Management	0.0204
335	AFL UN Equity	Gotham Asset Management LLC	0.0014
336	AFL UN Equity	Occudo Quantitative Strategies LP	0.0044
337	AFL UN Equity	Sustainable Insight Capital Manage	0.0341
338	AFL UN Equity	Azimuth Capital Investment Managem	0.0017
339	AFL UN Equity	Twin Tree Management LP	0.0007
340	AFL UN Equity	Ergoteles LLC	0.0014
341	AIG UN Equity	AQR Capital Management LLC	0.0062
342	AIG UN Equity	Third Point LLC	0.0247
343	AIG UN Equity	Adage Capital Management LP	0.0000
344	AIG UN Equity	Alyeska Investment Group LP	0.0077
345	AIG UN Equity	Millennium Management LLC/NY	0.0009
346	AIG UN Equity	Point72 Asset Management LP	0.0000
347	AIG UN Equity	Balyasny Asset Management LP	0.0020
348	AIG UN Equity	Steadfast Capital Management LP	0.0168
349	AIG UN Equity	DE Shaw & Co LP	0.0000
350	AIG UN Equity	TwinBeech Capital LP	0.0110
351	AIG UN Equity	Schonfeld Strategic Advisors LLC	0.0042
352	AIG UN Equity	Citadel Advisors LLC	0.0003
353	AIG UN Equity	Capital Fund Management SA	0.0042
354	AIG UN Equity	Holocene Advisors LP	0.0012
355	AIG UN Equity	Corient Private Wealth LLC	0.0006
356	AIG UN Equity	Philadelphia Financial Management	0.0424
357	AIG UN Equity	Hudson Bay Capital Management LP	0.0015
358	AIG UN Equity	Cinctive Capital Management LP	0.0051
359	AIG UN Equity	Bloom Tree Partners LLC	0.0476
360	AIG UN Equity	Troluce Capital Advisors LLC	0.1454
361	AIZ UN Equity	Citadel Advisors LLC	0.0005
362	AIZ UN Equity	Millennium Management LLC/NY	0.0003
363	AIZ UN Equity	TOBAM SAS	0.0159
364	AIZ UN Equity	AQR Capital Management LLC	0.0004
365	AIZ UN Equity	Schonfeld Strategic Advisors LLC	0.0014
366	AIZ UN Equity	Cubist Systematic Strategies LLC	0.0015
367	AIZ UN Equity	Renaissance Technologies LLC	0.0001
368	AIZ UN Equity	MARSHALL WACE	0.0000
369	AIZ UN Equity	Advantage Alpha Capital Partners L	0.0142
370	AIZ UN Equity	Bridgewater Associates LP	0.0004
371	AIZ UN Equity	Gotham Asset Management LLC	0.0013
372	AIZ UN Equity	Capital Fund Management SA	0.0009
373	AIZ UN Equity	Shay Capital LLC	0.0189
374	AIZ UN Equity	Holocene Advisors LP	0.0002
375	AIZ UN Equity	Corient Private Wealth LLC	0.0001
376	AIZ UN Equity	DE Shaw & Co LP	0.0000
377	AIZ UN Equity	Long Focus Capital Management LLC	0.0038
378	AIZ UN Equity	Tudor Investment Corp	0.0003
379	AIZ UN Equity	Point72 Asset Management LP	0.0000
380	AIZ UN Equity	ExodusPoint Capital Management LP	0.0002
381	AJG UN Equity	Viking Global Investors LP	0.0074
382	AJG UN Equity	Adage Capital Management LP	0.0000
383	AJG UN Equity	Echo Street Capital Management LLC	0.0129
384	AJG UN Equity	Bain Capital Public Equity Managem	0.0510
385	AJG UN Equity	Point72 Asset Management LP	0.0000
386	AJG UN Equity	AQR Capital Management LLC	0.0005
387	AJG UN Equity	Prospector Partners LLC	0.0305
388	AJG UN Equity	11 Capital Partners LP	0.0945
389	AJG UN Equity	Millennium Management LLC/NY	0.0001
390	AJG UN Equity	Brant Point Investment Management	0.0288
391	AJG UN Equity	Squarepoint Ops LLC	0.0006
392	AJG UN Equity	Corient Private Wealth LLC	0.0003
393	AJG UN Equity	MARSHALL WACE	0.0000
394	AJG UN Equity	Nicola Wealth Management Ltd	0.0109
395	AJG UN Equity	Miura Global Management LLC/United	0.0635
396	AJG UN Equity	Alley Investment Management Co LLC	0.0138
397	AJG UN Equity	Citadel Advisors LLC	0.0001
398	AJG UN Equity	Gotham Asset Management LLC	0.0013
399	AJG UN Equity	Kerrisdale Advisers LLC	0.0148
400	AJG UN Equity	New Vernon Investment Management L	0.1084
401	AKAM UW Equity	Arrowstreet Capital LP	0.0021
402	AKAM UW Equity	MARSHALL WACE	0.0000
403	AKAM UW Equity	Citadel Advisors LLC	0.0014
404	AKAM UW Equity	AQR Capital Management LLC	0.0016
405	AKAM UW Equity	DE Shaw & Co LP	0.0000
406	AKAM UW Equity	Nishkama Capital LLC	0.0392
407	AKAM UW Equity	TwinBeech Capital LP	0.0038
408	AKAM UW Equity	Portman Square Capital LLP	0.0338
409	AKAM UW Equity	Invenomic Capital Management LP	0.0101
410	AKAM UW Equity	Squarepoint Ops LLC	0.0008
411	AKAM UW Equity	Millennium Management LLC/NY	0.0001
412	AKAM UW Equity	Cubist Systematic Strategies LLC	0.0014
413	AKAM UW Equity	CaaS Capital Management LP	0.0552
414	AKAM UW Equity	Adage Capital Management LP	0.0000
415	AKAM UW Equity	LMCG Investments LLC	0.0061
416	AKAM UW Equity	Two Sigma Investments LP	0.0000
417	AKAM UW Equity	Twin Tree Management LP	0.0015
418	AKAM UW Equity	ExodusPoint Capital Management LP	0.0008
419	AKAM UW Equity	Bridgewater Associates LP	0.0004
420	AKAM UW Equity	Point72 Asset Management LP	0.0000
421	ALB UN Equity	Coatue Management LLC	0.0075
422	ALB UN Equity	Renaissance Technologies LLC	0.0021
423	ALB UN Equity	Frontier Capital Management Co LLC	0.0078
424	ALB UN Equity	Alyeska Investment Group LP	0.0036
425	ALB UN Equity	Citadel Advisors LLC	0.0003
426	ALB UN Equity	Holocene Advisors LP	0.0012
427	ALB UN Equity	Adage Capital Management LP	0.0000
428	ALB UN Equity	Bridgewater Associates LP	0.0011
429	ALB UN Equity	Peak6 Group LLC	0.0133
430	ALB UN Equity	AQR Capital Management LLC	0.0003
431	ALB UN Equity	ExodusPoint Capital Management LP	0.0016
432	ALB UN Equity	DE Shaw & Co LP	0.0000
433	ALB UN Equity	Tocqueville Asset Management LP	0.0018
434	ALB UN Equity	Readystate Asset Management LP	0.0106
435	ALB UN Equity	Edge Capital Group LLC	0.0048
436	ALB UN Equity	Kovitz Investment Group Partners L	0.0011
437	ALB UN Equity	Merewether Investment Management L	0.0050
438	ALB UN Equity	Greenline Partners LLC	0.0131
439	ALB UN Equity	MARSHALL WACE	0.0000
440	ALB UN Equity	Atika Capital Management LLC	0.0079
441	ALGN UW Equity	Citadel Advisors LLC	0.0020
442	ALGN UW Equity	Millennium Management LLC/NY	0.0011
443	ALGN UW Equity	Arrowstreet Capital LP	0.0010
444	ALGN UW Equity	Braidwell LP	0.0306
445	ALGN UW Equity	Frontier Capital Management Co LLC	0.0057
446	ALGN UW Equity	Bridgewater Associates LP	0.0035
447	ALGN UW Equity	ArrowMark Colorado Holdings LLC	0.0050
448	ALGN UW Equity	Capital Fund Management SA	0.0056
449	ALGN UW Equity	AQR Capital Management LLC	0.0007
450	ALGN UW Equity	Palo Alto Investors LP	0.0213
451	ALGN UW Equity	Iron Triangle Partners LP	0.0315
452	ALGN UW Equity	Aureus Asset Management LLC	0.0165
453	ALGN UW Equity	Twin Tree Management LP	0.0044
454	ALGN UW Equity	Adage Capital Management LP	0.0000
455	ALGN UW Equity	Corient Private Wealth LLC	0.0003
456	ALGN UW Equity	IEQ Capital LLC	0.0028
457	ALGN UW Equity	Squarepoint Ops LLC	0.0004
458	ALGN UW Equity	Graham Capital Management LP	0.0025
459	ALGN UW Equity	in-Depth Partners LLC	0.0549
460	ALGN UW Equity	Two Sigma Investments LP	0.0000
461	ALK UN Equity	Point72 Asset Management LP	0.0000
462	ALK UN Equity	PAR Capital Management Inc	0.0222
463	ALK UN Equity	Interval Partners LP	0.0100
464	ALK UN Equity	Renaissance Technologies LLC	0.0003
465	ALK UN Equity	Frontier Capital Management Co LLC	0.0012
466	ALK UN Equity	Adage Capital Management LP	0.0000
467	ALK UN Equity	Millennium Management LLC/NY	0.0001
468	ALK UN Equity	Squarepoint Ops LLC	0.0003
469	ALK UN Equity	Schonfeld Strategic Advisors LLC	0.0004
470	ALK UN Equity	Impala Asset Management LLC	0.0365
471	ALK UN Equity	Graham Capital Management LP	0.0015
472	ALK UN Equity	AQR Capital Management LLC	0.0001
473	ALK UN Equity	Capital Fund Management SA	0.0004
474	ALK UN Equity	Summit Global Investments LLC	0.0012
475	ALK UN Equity	Gotham Asset Management LLC	0.0005
476	ALK UN Equity	Parallax Volatility Advisers LP	0.0007
477	ALK UN Equity	Oak Thistle LLC	0.0070
478	ALK UN Equity	Privium Fund Management UK Ltd	0.0134
479	ALK UN Equity	Campbell & Co Investment Adviser L	0.0030
480	ALK UN Equity	Prelude Capital Management LLC	0.0013
481	ALL UN Equity	Palestra Capital Management LLC	0.0265
482	ALL UN Equity	Millennium Management LLC/NY	0.0005
483	ALL UN Equity	TwinBeech Capital LP	0.0069
484	ALL UN Equity	Renaissance Technologies LLC	0.0005
485	ALL UN Equity	Squarepoint Ops LLC	0.0017
